ID,Character,Prompt,Left_Choice,Left_Piety,Left_Stability,Left_Power,Left_Wealth,Right_Choice,Right_Piety,Right_Stability,Right_Power,Right_Wealth,Requires_Card,Requires_Choice,Requires_Metric,Requires_Range,Chain_Card
347,Grand Inquisitor,"The religious purification expert presents surveillance proposals: ""Your academic controls affect knowledge development. Monitoring approaches await.""",Clerical observers in all university lectures.,15,-20,5,-10,Student informant networks reporting suspicious discussions.,20,-25,10,-5,346,Right,,,
348,Master Builder,"The builder appears excited: ""New urban planning concepts emerge from foreign cities, Sire. Implementation would transform the capital.""","Traditional layouts reflect our values; maintain current planning.",10,-15,0,5,"Organized design improves efficiency; reconstruct immediately!",-10,25,0,-25,,,,,349
349,Master Builder,"The urban planner presents district designs: ""Your city planning decision shapes daily life. Priority areas await.""",Religious and ceremonial spaces emphasizing spiritual values.,20,-10,0,-20,Commercial districts enhancing economic activity.,-15,20,0,10,348,Right,,,350
350,Master Builder,"The infrastructure specialist presents public space designs: ""Your district prioritization shapes urban character. Community features await.""",Monumental plazas demonstrating state power.,15,-15,5,-15,Functional markets and gathering spaces serving citizens.,-10,25,-5,-10,349,Right,,,
351,Master of Spies,"The intelligence chief whispers urgently: ""Foreign agents infiltrate our guilds, Your Majesty. Response options vary in visibility.""","Quiet elimination prevents embarrassment; handle discreetly.",0,-5,10,-10,"Public trials demonstrate consequences; prosecute openly.",10,-15,15,-15,,,,,352
352,Master of Spies,"The counterintelligence specialist presents network analysis: ""Your espionage response reveals deeper penetration. Containment strategies await.""",Limited prosecution focusing on leadership only.,5,-10,15,-10,Comprehensive investigation targeting all conspirators.,10,-20,20,-20,351,Right,,,
353,Fleet Admiral,"The naval commander presents strategic analysis: ""Pirate havens threaten shipping lanes, Your Highness. Naval response requires authorization.""","Economic pressure suffices; establish blockades.",0,-5,15,-10,"Direct action ensures security; assault their strongholds.",0,-15,25,-25,,,,,354
354,Fleet Admiral,"The maritime security expert presents tactical options: ""Your piracy response shapes naval doctrine. Engagement protocols await.""",Convoy protection prioritizing defensive posture.,0,10,10,-15,Hunter-killer squadrons pursuing aggressive elimination.,-5,-10,25,-20,353,Right,,,355
355,Fleet Admiral,"The naval strategist presents intelligence: ""Your tactical approach reveals foreign support for pirates. Diplomatic implications await.""",Formal protests through diplomatic channels.,5,5,5,0,Naval blockade of supporting foreign ports.,-10,-15,20,-20,354,Left,,,
356,Royal Cartographer,"The mapmaker appears excited: ""Uncharted territories report valuable resources, Your Majesty. Expedition funding awaits.""","Known lands demand attention; delay exploration.",10,-10,0,10,"New resources ensure prosperity; fund immediately!",-10,15,5,-25,,,,,357
357,Royal Cartographer,"The exploration coordinator presents expedition plans: ""Your exploration decision shapes territorial expansion. Expedition goals vary.""",Scientific documentation emphasizing knowledge acquisition.,5,5,10,-15,Military survey emphasizing defensive positions.,0,-5,20,-20,356,Right,,,358
358,Royal Cartographer,"The colonial administrator presents settlement proposals: ""Your expedition reveals habitable lands. Development approaches vary.""",Trading outpost emphasizing commerce with native populations.,0,15,-5,-10,Military fortification establishing territorial control.,0,-20,25,-25,357,Right,,,
359,Master of the Harvest,"The agricultural advisor speaks urgently: ""Crop diversification reduces famine risk, Your Majesty. Implementation requires royal support.""","Traditional staples have proven reliable; maintain focus.",10,-15,0,5,"Agricultural security requires variety; diversify crops!",-10,25,0,-15,,,,,360
360,Master of the Harvest,"The crop specialist presents cultivation plans: ""Your agricultural diversification shapes food security. Implementation approaches vary.""",Experimental royal farms testing new varieties.,5,-5,0,-10,Incentive programs encouraging farmer adoption.,-5,20,0,-15,359,Right,,,361
361,Master of the Harvest,"The food security expert presents distribution systems: ""Your crop implementation affects regional resilience. Storage approaches await.""",Centralized granaries under royal control.,10,-15,5,-5,Distributed storage facilities throughout provinces.,-5,20,-5,-15,360,Right,,,
362,Court Philosopher,"The thinker speaks passionately: ""Scientific instrumentation advances knowledge, Your Majesty. Funding would accelerate discovery.""","Practical application outweighs theory; limit funding.",15,-10,0,5,"Understanding natural laws benefits all; fund generously!",-15,20,0,-20,,,,,363
363,Court Philosopher,"The natural scientist presents research directions: ""Your scientific funding shapes knowledge development. Priority areas await.""",Agricultural and military applications with immediate benefits.,5,-5,10,-10,Pure research expanding fundamental understanding.,-10,15,-5,-15,362,Right,,,364
364,Court Philosopher,"The academic administrator presents institutional designs: ""Your research priorities affect scholarly organization. Structural approaches vary.""",Royal Academy with centralized authority.,15,-15,5,-20,Distributed research institutes with specialized focus.,-15,25,-5,-25,363,Right,,,
365,Court Astronomer,"The stargazer appears enthused: ""Solar eclipse approaches, Your Majesty. Public interpretation requires royal direction.""","Scientific phenomenon demonstrates natural order; explain rationally.",10,-5,0,-5,"Divine sign requires spiritual interpretation; hold ceremonies.",-10,15,0,-10,,,,,366
366,Court Astronomer,"The celestial observer presents predictive calendars: ""Your eclipse interpretation shapes public understanding. Communication approaches vary.""",Educational presentations for nobility and scholars.,15,-15,0,-10,Public announcements accessible to all citizens.,-15,25,0,-15,365,Left,,,367
367,Court Astronomer,"The timekeeping specialist presents standardization proposals: ""Your astronomical communication affects daily life. Temporal systems await.""",Astronomical calendar based on celestial movements.,5,-5,0,-10,Practical calendar based on agricultural seasons.,-5,15,0,-5,366,Right,,,
368,Royal Diplomat,"The envoy kneels excitedly: ""Cultural exchange shapes international relations, Your Highness. A festival of foreign customs awaits your approval.""","National identity requires protection; limit foreign influence.",10,-15,5,-5,"Diplomatic bridges strengthen alliances; celebrate diversity!",-10,25,-5,-10,,,,,369
369,Royal Diplomat,"The cultural attaché presents ceremonial options: ""Your cultural exchange decision affects foreign perception. Inclusion approaches vary.""",Selective presentation of approved foreign traditions.,15,-10,0,-10,Comprehensive integration of diverse customs and arts.,-15,20,-5,-5,368,Right,,,
370,Captain of the Guard,"The security chief appears troubled: ""Palace defenses show vulnerabilities, Your Majesty. Fortification approaches await decision.""","Visible defenses deter threats; build imposing barriers.",5,-10,15,-15,"Subtle security preserves accessibility; emphasize intelligence.",-5,15,5,-10,,,,,371
371,Captain of the Guard,"The defense specialist presents security assessments: ""Your fortification approach shapes royal protection. Implementation methods vary.""",Physical barriers with increased guard presence.,0,-15,20,-20,Infiltration detection with selective checkpoints.,-5,10,10,-15,370,Left,,,372
372,Captain of the Guard,"The royal bodyguard presents training proposals: ""Your security implementation affects response capability. Guard preparation approaches await.""",Elite force focusing on combat proficiency.,5,-5,25,-15,Broader force emphasizing observation and prevention.,-5,10,15,-10,371,Left,,,
373,Royal Falconer,"The bird handler appears excited: ""New hunting techniques emerge from eastern lands, Your Majesty. Training adaptation awaits decision.""","Traditional methods honor our heritage; maintain practices.",10,-5,5,-5,"Hunting excellence requires innovation; adopt new techniques!",-10,15,10,-10,,,,,374
374,Royal Falconer,"The master hawker presents performance data: ""Your falconry decision shapes noble sport. Training approaches vary significantly.""",Focus on traditional ceremonial displays of skill.,15,-10,0,-10,Emphasis on practical hunting efficiency and results.,-5,5,15,-5,373,Right,,,
375,Noble Lord,"The aristocrat bows deeply: ""Provincial infrastructure crumbles, Your Majesty. Noble houses request tax relief for repairs.""","Royal treasury cannot sustain reductions; deny request.",10,-25,0,15,"Local investment benefits all; grant limited exemptions.",-10,20,0,-10,,,,,376
376,Noble Lord,"The provincial representative presents financial projections: ""Your tax relief decision affects regional development. Administrative approaches vary.""",Centralized repair crews under royal oversight.,5,-15,5,-5,Local authority with accountability measures.,-5,25,-5,-15,375,Right,,,
377,Noble Lady,"The aristocrat curtsies gracefully: ""Court fashions influence the realm, Your Majesty. Foreign styles gain popularity among nobility.""","National identity expresses through tradition; discourage foreign fashions.",15,-15,5,0,"Cultural evolution strengthens diplomacy; embrace new styles.",-15,20,-5,-5,,,,,378
378,Noble Lady,"The fashion arbiter presents social analysis: ""Your style decision shapes cultural identity. Societal implications vary widely.""",Sumptuary laws restricting extravagance and foreign influence.,10,-20,0,10,Cultural exchange programs celebrating diversity.,-10,25,-5,-15,377,Right,,,
379,Prince,"The young royal stands proudly: ""Military training shapes future leaders, Father. I request command experience with our forces.""","Youth requires patience; continue theoretical studies.",5,-5,10,-5,"Practical leadership builds character; grant limited command.",0,10,15,-10,,,,,380
380,Prince,"The royal heir presents training plans: ""Your command decision shapes my development. Leadership approaches vary significantly.""",Ceremonial position with experienced advisors.,10,-10,5,-5,Frontier posting with real responsibility.,-5,15,20,-15,379,Right,,,
381,Princess,"The royal daughter speaks confidently: ""Diplomatic missions require royal presence, Father. I volunteer to represent our interests abroad.""","A princess belongs at court; appoint a noble envoy instead.",10,-15,0,5,"Fresh perspective strengthens diplomacy; accept her offer.",-10,20,-5,-10,,,,,382
382,Princess,"The diplomatic attaché presents mission objectives: ""Your representation decision shapes international perception. Approach methodologies differ.""",Ceremonial goodwill tour emphasizing cultural exchange.,5,10,-5,-5,Trade negotiation mission with substantive authority.,-5,20,-10,-15,381,Right,,,
383,Queen,"The royal consort speaks with quiet authority: ""Royal succession ensures stability, my husband. Educational priorities for our children await.""","Military leadership secures the realm; emphasize martial training.",10,-5,20,-15,"Diplomatic skill prevents wars; prioritize statecraft.",-5,15,-10,5,,,,,384
384,Queen,"The royal mother discusses dynastic planning: ""Your educational focus shapes future rule. Development approaches vary significantly.""",Traditional separation of royal children from commoners.,15,-20,5,-5,Integrated exposure to subjects of all classes.,-10,25,-5,-10,383,Right,,,
385,Cardinal,"The religious leader appears solemn: ""Cathedral construction stalls, Your Majesty. Divine favor requires completion.""","Practical governance prioritizes essential services; delay completion.",15,-15,0,10,"Spiritual investment benefits all; fund completion immediately!",-15,25,-5,-25,,,,,386
386,Cardinal,"The ecclesiastical administrator presents design options: ""Your cathedral decision affects religious devotion. Architectural approaches vary.""",Functional completion emphasizing practical worship.,20,-5,0,-15,Magnificent embellishment demonstrating divine glory.,-20,15,-5,-25,385,Right,,,
387,Abbot,"The monastic leader appears concerned: ""Agricultural innovations emerge from our monastery, Your Majesty. Distribution requires royal support.""","Monastic discoveries serve monastic needs; limit dissemination.",15,-20,0,5,"Public welfare benefits from knowledge; spread techniques widely!",-10,25,0,-10,,,,,388
388,Abbot,"The agricultural scholar presents implementation plans: ""Your innovation distribution shapes peasant farming. Teaching methodologies vary.""",Written manuals for educated landowners.,10,-15,0,-5,Practical demonstrations in village communities.,-5,25,0,-15,387,Right,,,
389,Peasant Bailiff,"The commoner representative kneels nervously: ""Harvest taxation crushes struggling villages, Your Majesty. Relief would prevent starvation.""","Royal needs remain paramount; maintain collection levels.",15,-30,0,20,"Starving subjects cannot serve; grant temporary relief.",-10,35,-5,-20,,,,,390
390,Peasant Bailiff,"The village administrator presents economic projections: ""Your taxation relief shapes rural stability. Implementation approaches vary.""",Loan program requiring repayment next season.,10,-15,0,0,Permanent reduction establishing new baseline.,-15,30,-5,-15,389,Right,,,
391,Knight Chapter-Master,"The order leader appears troubled: ""Knight recruitment falters, Your Majesty. Noble families withhold their sons.""","Traditional service obligations must be enforced; compel compliance.",10,-15,15,-5,"Incentive attracts quality; offer land grants to new knights.",-5,10,20,-20,,,,,392
392,Knight Chapter-Master,"The recruitment officer presents candidate profiles: ""Your incentive approach shapes knightly character. Selection criteria vary.""",Emphasis on aristocratic bloodlines and heritage.,15,-20,10,-10,Merit-based consideration including exceptional commoners.,-15,25,15,-15,391,Right,,,
393,Master of Arms,"The armory manager appears urgent: ""Weapon stores deplete rapidly, Your Majesty. Production priorities require direction.""","Elite forces deserve superior equipment; focus on quality.",5,-10,15,-15,"Numbers ensure victory; emphasize quantity production.",-5,5,25,-25,,,,,394
394,Master of Arms,"The weapons master presents production plans: ""Your armament priority shapes battlefield readiness. Distribution approaches vary.""",Specialized weapons for professional soldiers.,10,-15,20,-20,Standardized weapons for both professionals and militia.,-5,10,25,-15,393,Right,,,
395,Master of the Stables,"The horse master appears excited: ""Foreign bloodlines could strengthen our cavalry mounts, Your Majesty. Breeding decisions await.""","Native stock preserves proven reliability; maintain purity.",10,-5,15,-5,"Military advantage justifies investment; import new breeds.",-5,10,25,-20,,,,,396
396,Master of the Stables,"The breeding specialist presents bloodline charts: ""Your equine decision shapes cavalry capability. Selection priorities vary.""",Heavy warhorses for armored knights.,5,-10,20,-15,Swift coursers for scouts and light cavalry.,-5,5,15,-10,395,Right,,,
397,Master of the Kennels,"The hound keeper appears concerned: ""Hunting pack diminishes in quality, Your Majesty. Breeding program requires direction.""","Current hounds serve adequately; maintain existing lines.",5,-5,0,5,"Superior hunting requires superior hounds; acquire new bloodlines.",-5,15,5,-15,,,,,398
398,Master of the Kennels,"The breeding specialist presents canine traits: ""Your hound decision shapes hunting success. Training methodologies differ.""",Specialized packs for specific game types.,10,-10,5,-10,Versatile hounds adaptable to various hunting conditions.,-5,15,0,-5,397,Right,,,
399,Royal Herald,"The announcer appears anxious: ""Royal proclamations reach too few subjects, Your Majesty. Communication strategy requires reconsideration.""","Written edicts maintain accuracy; continue current practice.",15,-20,0,-5,"Widespread understanding ensures compliance; expand methods.",-10,25,0,-15,,,,,400
400,Royal Herald,"The communications expert presents dissemination options: ""Your proclamation strategy shapes public awareness. Implementation approaches vary.""",Town criers in major settlements only.,10,-15,5,-10,Comprehensive network reaching even remote villages.,-5,25,-5,-20,399,Right,,,
