ID,Character,Prompt,Left Choice,Left Church,Left People,Left Military,Left Treasury,Right Choice,Right Church,Right People,Right Military,Right Treasury
363,Temple Priestess,"The holy woman speaks with measured authority: ""Sacred texts contain contradictions, Your Majesty. Shall we establish a theological council?""","Faith transcends literal interpretation.",17,-6,0,-4,"Unity requires clarity; convene the scholars.",-17,6,0,4
364,Court Alchemist,"The researcher demonstrates water purification: ""This process prevents illness, Sire. Shall we implement filtration systems?""","Traditional methods have served adequately.",0,-15,0,-7,"Public health ensures public order; distribute the technology.",0,15,0,7
365,Master of Horses,"The stable master presents breeding records: ""Our cavalry mounts grow inbred, Your Grace. Shall we import foreign bloodlines?""","Current mounts serve military needs adequately.",0,0,-9,-14,"Foundation determines potential; acquire the stallions.",0,0,9,14
366,Royal Gardener,"The horticulturist demonstrates pruning techniques: ""These methods increase orchard yields, my king. Shall we train agricultural advisors?""","Traditional farming has served our people adequately.",0,-11,0,-5,"Knowledge shared multiplies in value; establish the program.",0,11,0,5
367,Court Astronomer,"The scholar indicates seasonal predictions: ""Weather patterns suggest early winter, Your Majesty. Shall we increase fuel reserves?""","Such predictions lack reliability.",0,-15,0,-11,"Preparation harms nothing; stockpile supplies.",0,15,0,11
368,Master Builder,"The architect presents urban planning: ""The capital grows haphazardly, Sire. Shall we implement city development standards?""","Natural growth follows natural needs.",0,-13,0,-8,"Order precedes progress; establish the regulations.",0,13,0,8
369,Temple Guardian,"The warrior monk demonstrates defensive formations: ""Sacred sites face organized threats, Your Grace. Shall we establish a formal temple guard?""","Local security serves local needs adequately.",16,-5,8,-9,"Specialized threats require specialized defenses; create the force.",-16,5,-8,9
370,Court Painter,"The artist displays battlefield scenes: ""Victory deserves commemoration, my liege. Shall we commission military monuments?""","Practical concerns outweigh symbolic gestures.",0,-6,13,-9,"Glory remembered inspires future courage; approve the monuments.",0,6,-13,9
371,Master of Ceremonies,"The official demonstrates diplomatic protocols: ""Foreign customs differ significantly, Your Majesty. Shall we train court officials in international etiquette?""","Visitors should adapt to our customs, not reverse.",0,-7,5,-4,"Respect facilitates negotiation; implement the training.",0,7,-5,4
372,Royal Astronomer,"The scholar indicates navigational charts: ""Star positions guide night travel, Sire. Shall we train naval officers in celestial navigation?""","Current methods serve maritime needs adequately.",0,0,-11,-6,"Precision prevents disaster; establish the academy.",0,0,11,6
373,Master Jeweler,"The craftsman presents ceremonial designs: ""State occasions require visual hierarchy, Your Grace. Shall we create distinctive noble regalia?""","Merit deserves recognition more than birth.",7,-10,0,-8,"Order requires visible structure; commission the emblems.",-7,10,0,8
374,Court Historian,"The scholar presents military archives: ""Past campaigns contain valuable lessons, my king. Shall we establish a war college?""","Field experience teaches better than books.",0,0,-16,-7,"Knowledge preserved prevents repeated errors; found the institution.",0,0,16,7
375,Master of Coins,"The treasurer presents taxation efficiency: ""Collection lacks uniformity, Your Majesty. Shall we standardize regional assessments?""","Local conditions warrant local approaches.",0,-14,0,17,"Consistency ensures fairness; implement the standards.",0,14,0,-17
376,Royal Geographer,"The mapmaker indicates defensive terrain: ""Natural features offer strategic advantage, Sire. Shall we survey potential fortification sites?""","Current defenses serve adequately.",0,0,-10,-9,"Preparation precedes security; commission the expedition.",0,0,10,9
377,Temple Oracle,"The blind seer speaks with prophetic tone: ""The gods warn of coming conflict, Your Grace. Shall we increase prayer observances?""","Military preparation trumps supernatural appeals.",18,-8,0,0,"All advantages, seen and unseen, serve the kingdom; decree the rituals.",-18,8,0,0
378,Master of Hounds,"The kennel master presents tracking dogs: ""These animals find what hides, my liege. Shall we incorporate them in border patrols?""","Current methods secure borders adequately.",0,0,-9,-5,"Innovation enhances effectiveness; implement the program.",0,0,9,5
379,Court Musician,"The composer demonstrates healing melodies: ""These harmonies ease suffering, Your Majesty. Shall we incorporate music in hospitals?""","Traditional medicine serves healing adequately.",4,-13,0,-3,"Complementary approaches improve outcomes; approve the program.",-4,13,0,3
380,Master Armorer,"The craftsman presents cold-weather gear: ""Northern campaigns require specialized equipment, Sire. Shall we outfit troops for winter operations?""","Soldiers adapt to conditions with current supplies.",0,0,-14,-15,"Preparation determines survival; commission the equipment.",0,0,14,15
381,Royal Vintner,"The wine master presents spoilage prevention: ""These techniques preserve quality longer, Your Grace. Shall we implement new storage methods?""","Current practices serve adequately.",0,-5,0,-6,"Quality maintained increases value; adopt the methods.",0,5,0,6
382,Master of Festivals,"The organizer presents military celebration plans: ""Victory deserves recognition, my king. Shall we establish a triumph ceremony?""","Practical matters outweigh symbolic gestures.",0,-9,14,-7,"Honor earned demands honor given; establish the tradition.",0,9,-14,7
383,Court Physician,"The doctor presents surgical instruments: ""These tools save limbs previously lost, Your Majesty. Shall we equip field hospitals?""","Traditional methods have served the wounded adequately.",0,0,-13,-11,"Lives preserved return to service; distribute the equipment.",0,0,13,11
384,Royal Cartographer,"The mapmaker indicates underground features: ""Cave systems lie beneath the capital, Sire. Shall we map these passages?""","Surface concerns demand full attention.",0,-4,15,-8,"Security requires complete knowledge; commission the survey.",0,4,-15,8
385,Master of Waters,"The official presents irrigation designs: ""Desert regions could bloom, Your Grace. Shall we implement water reclamation projects?""","Nature determines which lands support life.",0,-16,0,-19,"Boundaries redrawn by human ingenuity; begin construction.",0,16,0,19
386,Temple Priestess,"The holy woman speaks with compassionate authority: ""Orphans lack care and guidance, my liege. Shall we establish temple-run orphanages?""","Family and community bear responsibility for children.",11,-17,0,-8,"Society strengthens by protecting its weakest; found the institutions.",-11,17,0,8
387,Court Alchemist,"The researcher demonstrates metallurgical techniques: ""These methods strengthen steel, Your Majesty. Shall we implement new forging standards?""","Traditional smithing has served adequately.",0,0,-12,-10,"Small advantages compound in combat; adopt the techniques.",0,0,12,10
388,Master of Horses,"The stable master demonstrates battlefield extraction: ""These methods retrieve wounded riders, Sire. Shall we train cavalry in rescue techniques?""","Warriors accept battlefield risks.",0,0,-13,-3,"Lives preserved fight another day; implement the training.",0,0,13,3
389,Royal Gardener,"The horticulturist presents forest management: ""Sustainable harvesting ensures future supply, Your Grace. Shall we implement timber regulations?""","Markets determine appropriate usage rates.",5,-14,0,-8,"Resources preserved serve generations; establish the standards.",-5,14,0,8
390,Court Astronomer,"The scholar indicates weather patterns: ""Storm season approaches with unusual severity, my king. Shall we reinforce coastal defenses?""","Nature follows its own course despite predictions.",0,-17,0,-12,"Prevention costs less than rebuilding; strengthen the structures.",0,17,0,12
391,Master Builder,"The architect presents urban water systems: ""Disease spreads through contamination, Your Majesty. Shall we construct sewage systems?""","Individual hygiene remains personal responsibility.",0,-20,0,-18,"Public health requires public solutions; begin construction.",0,20,0,18
392,Temple Guardian,"The warrior monk demonstrates protective formations: ""Sacred processions face harassment, Sire. Shall we establish ceremonial guards?""","Religious observances must adapt to civil conditions.",13,-9,5,-4,"Faith deserves dignity in expression; create the escort.",-13,9,-5,4
393,Court Painter,"The artist displays heroic scenes: ""Inspiration drives recruitment, Your Grace. Shall we commission military artwork?""","Practical concerns determine service, not images.",0,-5,10,-7,"Glory depicted attracts glory seekers; approve the paintings.",0,5,-10,7
394,Master of Ceremonies,"The official demonstrates funeral protocols: ""Royal passages lack proper solemnity, my liege. Shall we formalize mourning procedures?""","Death requires no elaborate ceremony.",9,-11,0,0,"Transitions of power demand stable transitions of sentiment; establish the protocols.",-9,11,0,0
395,Royal Astronomer,"The scholar indicates agricultural timing: ""Planting seasons shift with climate, Your Majesty. Shall we update the farming calendar?""","Traditional timing has served agriculture adequately.",0,-15,0,-3,"Adaptation ensures survival; distribute the revised almanac.",0,15,0,3
396,Master Jeweler,"The craftsman presents official seals: ""Document authentication requires standardization, Sire. Shall we implement new royal signets?""","Current methods detect forgery adequately.",0,-4,0,-8,"Authority requires clear markers; commission the seals.",0,4,0,8
397,Court Historian,"The scholar presents cultural preservation: ""Local traditions fade with modernization, Your Grace. Shall we document regional customs?""","Progress naturally replaces outdated practices.",5,-16,0,-6,"Identity preserved strengthens national unity; fund the research.",-5,16,0,6
398,Master of Coins,"The treasurer presents trade balance reports: ""Imports exceed exports, my king. Shall we incentivize domestic production?""","Markets find natural equilibrium without interference.",0,-12,0,15,"Self-sufficiency strengthens sovereignty; implement the policies.",0,12,0,-15
399,Royal Geographer,"The mapmaker indicates disputed territories: ""Border confusion breeds conflict, Your Majesty. Shall we negotiate clear boundaries?""","Ambiguity sometimes serves strategic interests.",0,-4,13,-5,"Clear lines prevent unnecessary bloodshed; begin diplomatic initiatives.",0,4,-13,5
400,Temple Oracle,"The blind seer speaks with otherworldly voice: ""The gods demand justice for the forgotten, Sire. Shall we review imprisonment cases?""","Criminal judgments must remain fixed once pronounced.",12,-18,0,-7,"Mercy demonstrates strength, not weakness; initiate the reviews.",-12,18,0,7
